Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
100042,-1.190976,2.97306,-3.774759,4.235685,-0.862308,-2.101281,-5.147079,0.115894,-1.730794,-7.840832,3.287764,-7.701708,0.167091,-5.450591,0.085952,-5.237013,-5.489901,-2.317278,1.592428,-0.343087,0.424399,0.954428,0.763069,0.648225,-1.243307,-0.594794,-4.551594,-0.815773,0.01,1
4674,-4.877689,4.134319,-8.406527,4.779905,-3.3319,-1.491041,-6.878091,0.196102,-0.831423,-9.238997,6.084808,-14.479117,2.073292,-13.413809,0.659464,-9.443676,-10.35641,-4.31014,2.222584,0.218857,2.041225,-0.462711,0.522579,-0.375436,-0.617282,-0.163087,5.199078,0.730377,521.84,1
142360,4.007737,-0.951937,1.348105,1.876713,1.002692,1.271454,1.42704,-1.503805,-0.065136,-2.290442,-0.174787,0.687493,0.3627,-0.957811,-1.152426,2.22109,4.540885,2.348786,-0.565745,0.501723,-3.834534,1.061798,-0.646788,0.838323,-0.750048,0.353233,-6.181159,0.112641,20.56,1
8035,0.073556,4.120061,-3.836383,2.986097,-3.060681,-2.327094,-2.461503,1.109493,-0.50611,-1.222392,1.617753,-2.933522,1.393147,-1.165538,1.048909,0.191905,-0.259343,-0.509042,-1.331504,0.28145,0.1034,-1.378785,-0.339628,-0.151771,-1.220161,-0.066478,0.561655,0.02775,0.09,1
151621,0.219048,3.657374,-6.363549,5.045001,-2.031374,0.420342,-2.599558,0.132086,-2.538247,-4.480788,3.286844,-5.294395,-1.975637,-5.515111,-2.04135,-1.608353,-3.2664,-0.364256,-0.393614,0.296294,-0.804709,1.654339,0.077126,-0.377906,-1.546421,0.366843,0.075463,0.431123,128.34,1
56138,-1.488089,7.245584,-7.986503,5.659462,1.359546,-3.272138,-9.954167,-0.136951,-2.982347,-5.8518,5.912122,-9.045277,0.747689,-10.398938,0.254032,-4.203946,-5.1036,-1.735343,-0.772485,0.581576,0.611248,-0.75223,-0.271868,-0.847362,0.382457,1.10604,2.162947,0.685824,0.3,1
8512,2.036441,1.957053,-0.583637,1.716396,-0.413759,0.78021,0.82892,-0.10686,0.068378,-2.951852,2.762247,-4.417738,0.813976,-5.693934,1.070179,-0.275491,0.190566,0.466021,-1.466233,0.840126,-2.363504,0.003884,-0.012659,-1.377727,1.183277,0.009843,5.199078,0.902326,67.8,1
52884,-5.059469,3.651774,-5.91372,3.980225,-3.984417,-1.844046,-4.595377,1.441891,-1.498399,-3.49821,3.904259,-6.238086,-0.493728,-7.305774,1.151631,-4.813696,-5.955307,-1.671746,0.801168,1.119135,1.859868,-0.252167,-0.194438,-0.304439,0.506153,0.79562,0.917042,1.403485,55.07,1
59304,-1.546814,1.645675,-1.644702,2.214536,1.697269,-3.202858,-3.021377,0.614534,-0.634074,-2.864818,4.576938,-6.751825,-0.882138,-8.468547,1.26916,-7.158809,-6.098749,-3.014818,1.653517,-1.862063,1.498536,0.63997,-0.397755,0.025817,0.264323,-0.246243,-1.749899,0.70457,29.16,1
31906,-2.118201,6.049844,-5.608889,5.798591,-3.780916,-0.124768,-3.957958,-0.915068,-3.046629,-4.433574,2.456267,-6.890239,-0.962832,-4.466627,0.416273,-2.980533,-3.56601,-1.959569,0.475117,0.310233,-2.606709,0.468561,0.641066,0.363918,0.362574,0.446174,0.89667,-0.201926,0.01,1
26694,-7.252994,3.872446,-19.627616,4.94637,-2.377856,-2.892595,-4.691202,0.433096,-0.691258,-5.80949,3.170067,-4.223189,-0.394363,-7.437678,0.003811,-0.613092,2.317485,1.254402,-1.363692,0.795833,-0.221357,-1.879358,1.158125,-0.968459,0.593954,-0.205802,1.201808,0.064715,61.63,1
27880,-2.323415,2.340311,-4.560765,5.836734,-2.078209,-1.342598,-5.058384,1.716737,-1.490908,-6.072972,7.214974,-12.761817,-0.843374,-12.639752,0.88163,-6.447491,-8.714882,-2.37384,0.727027,-1.348072,0.730003,0.224085,0.476072,-0.809532,0.03236,-0.006835,0.82764,-0.350345,32.91,1
124437,-2.139293,6.537869,-7.926429,3.643717,-3.022308,1.913449,-4.357006,-56.307128,-3.580645,-6.091578,2.20949,-2.169949,-0.884406,-2.455776,-2.687486,-0.574438,-1.586245,-0.351421,-1.168839,-0.510788,-4.687809,0.217386,-0.134993,0.537057,0.657665,-0.344619,-2.474601,-0.664455,1.16,1
46567,-14.428169,5.693356,-7.150456,8.442059,-12.569212,3.358947,-15.086164,0.415622,-4.846714,-5.377621,3.61617,-5.183426,0.324649,-4.197323,1.061564,-6.606516,-13.140813,-5.467711,3.955374,0.456951,-0.449045,0.244982,0.267486,-0.098652,0.071744,0.431948,-0.054211,-0.055978,40.97,1
24123,-2.910013,2.068837,-7.298738,6.074977,-0.347681,-7.250056,-1.819298,1.908159,-2.080914,-7.22539,4.242122,-7.879135,0.639698,-13.721091,1.146898,-2.480604,-1.596714,-0.149405,-1.087355,1.551831,0.675905,-0.617944,-1.287664,0.118514,0.95511,0.034706,1.026542,0.568902,18.81,1
108953,-4.424467,3.174512,-7.12803,4.139239,-4.848624,-0.745742,-9.93486,0.972249,-0.84335,-5.939073,5.72043,-9.12508,-1.389628,-11.973409,0.666071,-9.776025,-8.28656,-4.081294,3.597459,0.432906,1.552151,-0.027388,0.986228,-0.902267,-0.172635,0.879968,1.228506,0.574655,0.04,1
151355,-2.790868,2.526036,-2.617734,2.566859,-1.331336,-0.575674,-5.868049,0.339748,-1.817579,-2.678046,0.362781,-1.152211,0.672763,-2.779517,1.667087,-0.772252,-1.19797,-0.046536,1.304531,-0.308887,0.030825,0.232965,-1.099201,-0.325025,-0.911504,0.252263,0.471045,-0.068571,2.27,1
79325,1.391781,0.603745,-0.989364,5.598876,0.758981,-0.581076,-1.8493,-0.838119,0.000964,-3.582531,3.275211,-8.557154,-0.584383,-9.257394,1.158708,-5.33055,-2.945812,-1.919744,1.879443,1.134779,0.292212,0.251383,0.446442,-0.613392,0.157438,0.52509,0.916626,0.422431,2.91,1
95354,-1.52658,0.770854,-4.014289,4.260565,-0.839809,-1.981479,0.250983,-0.674854,-1.905445,-4.791821,2.719112,-5.514957,-0.544166,-9.774452,1.695589,-5.665679,-3.605698,-1.899679,2.273969,1.127366,-0.121996,0.389841,-0.171906,0.413188,-0.262347,-0.508348,0.473208,0.633768,299.53,1
172792,-6.259759,2.871,-7.742423,0.855283,-0.510125,0.252439,-12.075376,-3.61376,-3.132852,-5.121592,2.131161,0.092313,0.189452,-4.530799,-1.958198,-3.217455,-5.367657,-2.465967,0.435357,-0.322834,0.537695,1.15327,-0.025483,-0.210686,-0.920187,0.385372,1.089202,-0.707376,189.28,1
33629,-5.757176,8.136396,-11.574062,6.527215,-9.457692,-1.356868,-6.846915,0.584297,-2.912916,-6.153903,6.297,-12.079831,1.727626,-7.38426,-0.801987,-5.789908,-9.769624,-3.778862,1.305218,0.238937,1.35943,0.44707,-0.319701,-0.200063,0.055149,0.710627,-1.404347,0.01363,183.33,1
14143,-0.401882,3.125018,-3.241484,2.664178,-1.383501,-2.019014,-5.07406,1.990261,-0.78259,-4.965825,4.85674,-8.926196,0.187873,-7.796867,-1.458073,-5.365716,-6.896521,-3.109356,1.185373,-0.425629,0.569,-0.1075,0.196633,-0.402762,-0.747409,-0.127843,1.259902,0.195778,10.75,1
28084,2.399169,-3.363582,-0.766632,4.340569,2.908162,-0.17699,0.834921,0.774007,-1.835923,-2.89798,6.12902,-4.474168,-1.176966,-7.85724,1.674181,-3.063711,-3.282663,-0.276307,1.131327,2.139932,0.752329,0.068982,-0.265325,-1.195988,-0.328067,0.225203,5.199078,0.450421,242.46,1
95402,-9.096305,2.875021,-9.297214,7.791896,-0.897402,-5.09342,-4.047579,0.81033,-2.740207,-6.076726,5.081847,-13.415578,0.977819,-9.3017,-0.562111,-5.399098,-11.719528,-2.779298,0.154162,-0.251808,1.041392,-0.156773,-0.045607,0.592563,-0.453229,-0.491275,0.048126,0.12316,103.53,1
127952,-5.199862,2.088919,-4.211377,5.622948,-4.039068,0.427212,-4.431357,-3.159808,-4.844032,-13.0119,3.141785,-10.700634,-0.672473,-6.19109,-0.284946,-7.818168,-13.924116,-5.482068,1.871361,0.74151,-1.404239,2.708917,0.449349,0.466959,-1.758388,-0.125517,-0.409061,-0.238083,176.45,1
90741,0.737522,3.3644,-5.505692,7.137277,-0.51586,-2.13604,-1.30011,1.089218,-2.491463,-6.597622,4.697168,-11.68918,1.070918,-9.54064,-0.204159,-2.071255,-4.48354,0.275246,1.104621,-0.571108,0.558285,0.226363,0.802119,0.29696,-0.760797,-0.044385,-1.308753,-0.182449,4.89,1
57489,3.645202,-1.770298,1.615175,2.965217,9.437749,-2.625632,1.309182,0.666356,-0.173179,0.229611,4.602936,-2.384154,1.563301,-10.774195,0.420512,1.130744,2.298316,2.106835,0.530107,-1.521731,1.230973,-0.573975,-1.292467,0.200833,0.116938,0.551188,0.255486,0.484545,0.63,1
54147,-9.695268,5.184878,-7.053537,1.411508,-7.653507,-2.700432,-10.62404,1.659074,-2.414508,-11.634512,1.990324,-7.707761,0.048413,-6.553005,2.366732,-8.903393,-14.484745,-4.739014,4.159809,0.444639,3.371007,-0.291727,-0.574044,0.500135,0.598038,-0.211015,-0.02876,0.514685,11.35,1
47399,-13.767955,1.778094,-8.71882,11.186806,-7.414324,-0.774748,-5.83963,1.602139,-8.864948,-8.658248,6.298557,-14.714711,-0.392476,-14.710217,1.506221,-11.366723,-20.759033,-7.690263,3.539011,0.709989,0.624749,0.965587,0.248954,-0.64417,-0.570975,0.461387,0.632946,-0.093917,731.16,1
135635,-4.537836,7.613147,-10.231272,5.612134,-8.879817,-1.6704,-4.132777,0.79724,-6.05622,-9.92938,3.914315,-7.988202,-0.799385,-10.188723,0.007137,-6.76026,-14.519092,-6.856122,0.001796,-0.326793,0.337471,0.182797,0.507756,0.575876,0.749695,-0.438643,-2.082191,-1.144474,68.9,1
10090,-10.348555,8.754392,-23.869716,5.98241,-7.925351,-2.223734,-17.652798,3.134416,-4.252091,-13.214095,6.945369,-6.988704,1.627089,-12.543083,-0.010188,-7.861796,-9.184132,-3.207062,3.794799,0.821917,0.306276,-0.064129,-0.228106,-0.509521,0.478725,0.259854,0.491464,0.39365,18.89,1
21840,-9.183486,3.45889,-9.842274,8.441054,-1.6513,-2.963045,-11.465148,1.191974,-4.082225,-6.139991,7.183531,-9.648015,-1.063497,-12.821199,-0.188561,-6.390451,-13.554395,-5.347282,-0.326177,0.170858,-1.099453,0.173081,-1.061834,-0.163474,-0.273063,0.172305,1.068561,0.346263,3.39,1
98494,1.574009,4.342547,-4.348648,2.796674,-0.978971,-3.437519,-1.5057,3.939441,-2.554824,-4.638922,5.014047,-7.161187,1.833092,-11.388945,-0.294626,-4.425419,-5.631363,-1.358623,0.545168,0.670985,1.639853,-0.27255,-1.087462,0.163647,1.34027,1.053915,-0.49991,1.463286,3.66,1
48323,-1.173936,9.345776,-10.018108,7.632155,0.327546,-0.915565,-7.117384,-1.128701,-3.415216,-5.387092,6.614061,-5.321904,0.421642,-9.30531,-0.248947,-0.243435,1.048927,1.238172,-1.071775,0.907219,0.121264,-0.035308,0.081081,-0.765111,-0.492516,0.721012,1.281583,0.627297,0.01,1
14028,5.047849,-0.934434,0.457445,3.362189,2.582816,-4.283851,5.650586,3.177303,-1.490023,1.146504,1.8863,-1.805053,0.544864,-9.268254,1.982633,0.65946,2.230044,0.612885,-1.000137,-0.038318,0.836735,-0.408337,-9.096015,-0.16107,1.494985,2.059985,1.570817,0.38509,28.95,1
23341,-6.372653,4.667793,-7.242137,1.308416,-4.747763,-1.868215,-3.965989,0.890342,-1.946003,-4.905995,3.923664,-5.484474,-1.488303,-8.544013,1.535183,-3.664662,-6.011232,-2.192449,0.3564,-0.229636,8.151873,-4.327493,0.052674,0.086314,0.3151,-0.254029,1.063671,0.354198,3.32,1
29523,-4.786681,5.584381,-11.845021,6.90536,-2.83828,-2.903511,-15.57471,0.36681,-2.629819,-7.136884,4.930324,-7.777431,-0.134611,-9.067925,0.642862,-5.385432,-6.402928,-2.34889,1.231208,0.322272,0.320175,-0.662706,0.091778,0.779784,-1.015729,-0.058321,0.357618,-0.215419,30.73,1
34278,-10.620203,4.716442,-17.68981,4.810837,-3.588031,-1.289457,-8.544051,0.248096,-1.932384,-8.693155,4.594214,-7.408599,0.640516,-6.907483,-0.212917,-3.911709,-4.612505,-0.669879,1.261198,1.167204,-0.219186,0.26468,-0.155583,-0.981423,0.293105,0.62588,0.721895,-0.071967,123.42,1
79222,-4.694063,10.543938,-17.248838,8.095857,-4.946954,-2.743244,-16.586276,1.808279,-6.714732,-15.731308,7.695212,-15.54376,-0.319426,-12.094251,-0.424398,-5.630312,-8.085521,-2.877208,0.110777,1.437122,-1.27366,0.708533,0.326952,-1.186065,0.252603,0.807445,0.715467,0.025011,0.61,1
24260,-2.172247,-0.733277,-0.731274,1.699181,-0.28286,-1.17365,-2.689195,0.211246,-0.77421,-5.631628,5.974497,-7.280555,-1.074593,-8.770436,-0.053784,-6.221967,-8.568315,-4.574237,0.045372,0.517952,-0.670735,1.004264,-0.888117,0.040253,-0.290074,0.674253,1.318538,0.188348,111.96,1
116180,-0.006888,2.660568,-2.653774,6.242798,-1.174651,-0.197632,-4.39031,0.12315,-6.128995,-6.120082,2.640107,-6.344206,0.331244,-3.901494,-2.36392,-4.813405,-9.432081,-4.255228,1.095618,-0.069445,-1.324286,0.68853,0.242772,0.431324,-0.609101,0.385068,-0.235209,-1.322785,3.2,1
6933,-4.899061,16.625889,-21.449338,9.250196,-13.997038,-4.598999,-18.457434,6.657489,-8.687655,-22.738437,10.017573,-16.569908,2.167778,-14.083602,-1.164431,-9.363482,-18.896128,-5.30796,1.784713,0.958156,0.272027,0.570264,-2.376565,0.218573,0.447796,-0.348933,-0.366355,-1.087568,0.02,1
64061,-13.653291,1.87842,-8.109537,5.137736,-3.311307,-1.111143,-12.045029,1.673932,-4.610265,-6.771186,4.148591,-5.841147,1.425964,-5.577971,0.275315,-8.657911,-15.099698,-7.167207,2.72678,-0.165387,1.055292,-0.455329,0.037376,-0.098443,-0.206229,0.138535,0.80413,-0.449346,76.82,1
96834,-6.323394,2.967319,-4.553813,2.320626,-2.308619,-2.227479,-8.590556,0.333676,-1.31824,-4.546053,3.514467,-2.91399,-0.938105,-3.888395,-0.717812,-2.854,-6.309858,-1.012498,1.382102,-0.514974,0.68526,0.597824,-0.213716,1.169468,0.169487,-0.503397,-0.973519,0.331173,0.01,1
62873,-13.876228,6.627714,-10.41814,5.68563,-8.283766,-1.579051,-4.637843,1.205454,-3.700607,-9.054363,5.939221,-7.301475,-0.280797,-9.404189,0.546747,-3.602098,-5.282779,-0.430864,2.488191,0.114204,-0.019357,0.093139,-0.162075,-0.271135,0.396161,0.297889,-0.001203,-0.014812,0.23,1
159391,2.839606,-0.051943,1.18862,1.787599,5.41,4.392234,1.877321,-56.307128,0.75023,-0.001426,1.883946,-1.524013,-2.035491,-7.007162,-1.099073,1.247328,4.094669,1.736799,-2.994419,-7.131063,-0.144523,-0.57269,0.585542,-0.326293,-0.447724,-0.299625,0.24179,-0.269955,7.68,1
42540,-0.753361,2.425626,-1.041605,2.177643,-1.077216,3.427984,0.142613,-21.210837,0.896593,0.865605,-1.209163,0.896502,-1.64658,1.516353,0.710935,2.537602,5.044377,1.269278,-1.817405,-1.78837,-17.870599,-0.036838,0.360993,-0.450733,1.120654,0.229601,-0.403231,-1.606744,70.92,1
37381,1.59565,2.094059,-1.047826,2.259454,2.267977,-1.877836,0.96299,-0.714031,-0.225245,-0.506133,4.494971,-3.30697,-1.103552,-7.722261,0.955302,-0.28736,2.800023,1.768703,0.029779,0.542511,0.767719,-0.399285,0.405372,-0.802418,0.647107,0.035534,0.661683,0.95478,1.36,1
165277,1.095461,0.181684,-2.840845,2.461477,2.146815,-0.314996,1.690017,-0.115633,0.123474,0.509972,-0.986695,0.343266,-1.026798,-2.427207,-1.54921,1.508158,2.971459,1.213517,-3.600159,0.209081,1.51393,-0.330155,-0.503486,-1.255111,0.457447,-0.005598,-0.454261,1.237603,27.91,1
54842,-0.386097,1.520479,-2.720779,4.062832,-2.492667,-0.677792,-1.248234,0.796336,-1.578179,-2.440421,1.346558,-3.032007,0.12875,-3.262804,0.3161,0.553757,-0.150896,0.677465,-1.066692,0.886514,0.278267,-0.519352,-0.091588,-0.716469,-0.147281,0.155349,1.108092,0.082299,58.44,1
54762,-9.303275,5.164412,-7.980464,9.911097,-9.560207,-1.282487,-14.335736,0.816152,-6.311098,-11.600375,4.039015,-8.700717,-0.135328,-7.881871,0.186874,-7.111624,-12.962401,-6.657028,2.165372,0.697909,-0.883775,0.688077,-0.415629,0.652426,-1.308091,0.569575,-0.089625,-0.033805,138.88,1
0,-4.969465,2.456428,-6.84021,8.98157,-5.703914,0.180733,-4.853039,0.876212,-2.315593,-4.230134,7.49491,-6.828126,0.668031,-11.2129,0.064427,-3.07704,-6.106755,-0.63654,1.339246,0.399937,-0.14728,0.027097,-0.232639,-0.980783,0.458895,0.501946,3.52047,0.162352,61.65,1
28221,-6.345879,4.129996,-5.125617,3.758557,-4.077832,-2.008302,-4.744242,1.284246,-3.094566,-5.768933,5.071876,-6.879442,0.873969,-6.132726,0.615225,-5.327251,-6.075404,-1.139807,3.54314,0.461092,1.315313,0.605463,-0.025729,0.477187,0.099283,0.741471,-0.118237,0.119811,0.78,1
151699,1.988982,0.790864,-2.690444,0.433917,1.035773,-1.377227,1.541081,-1.559124,1.199124,-1.294218,2.678198,-4.30406,-0.979827,-5.045736,-0.229106,-0.905708,0.660619,1.001999,0.690194,-0.478533,2.119525,-0.145937,0.93999,-0.447444,-1.989657,0.240915,-0.388479,0.291106,19.31,1
134598,-2.323232,-0.45135,0.523745,0.496388,1.685149,-2.355828,0.809928,0.080881,0.780984,1.773732,-2.092585,0.966624,0.385855,0.815801,1.041796,0.655582,2.758342,1.079567,0.238467,-0.622241,0.912385,-0.262255,-0.467304,0.459237,-0.651661,-0.747651,-2.588903,0.458398,315.78,1
0,0.216181,-0.293452,0.751038,3.281864,-2.222358,-2.300956,-1.612102,3.350762,-0.208674,-4.10031,1.807649,-3.699957,-0.44849,-5.453087,-0.674908,-3.12445,-3.889068,-1.473663,0.717316,1.600693,0.816052,-0.336548,0.021338,0.347399,-0.010451,-0.331165,1.047487,0.437014,195.24,1
34169,-1.263109,6.308996,-5.336278,5.005099,-2.966702,-0.681002,-5.068094,-2.638186,-1.541911,-6.052615,4.751553,-6.22501,1.686132,-2.528672,-1.401876,-2.020018,-0.224208,0.172434,0.079746,3.161578,-8.158213,2.057475,0.11423,-0.037431,-0.791109,-0.135339,-0.192283,0.059957,11.3,1
54039,2.452653,-2.228365,-2.162064,0.859093,1.151142,-2.301235,3.081851,0.222643,1.760107,0.822822,-0.536088,1.254128,-0.113707,-1.783556,1.278939,1.80842,5.725777,1.824443,-1.969301,0.283835,1.225191,-0.378027,-0.591343,0.103166,-0.023522,-0.623064,0.008877,0.433436,509.73,1
140562,0.246767,2.498699,-4.141276,1.927836,-3.521927,0.325834,-3.894778,-0.265034,-1.679557,-5.565357,2.270264,-2.975978,-0.402897,-3.290443,-0.229429,-4.053749,-6.016352,-1.853204,1.749835,1.076031,0.120916,1.177066,4.065077,0.373747,-0.33458,-0.132938,-1.10414,0.170287,57.58,1
77103,-6.01882,6.154409,-20.042535,6.739354,-12.74097,-2.25057,-6.105245,0.93341,-3.56644,-6.481587,4.864736,-5.729683,1.86179,-5.403512,-0.310014,-5.139056,-7.952886,-3.910053,2.663438,0.549767,0.038937,0.703256,-0.501698,-0.235187,0.536231,-0.029843,0.612832,-0.144868,1269.55,1
73365,-0.0401,3.252553,-1.550914,2.454953,-1.187752,0.047797,-7.324829,-0.189856,-1.269448,-4.011366,4.011243,-5.543789,-0.263035,-5.510751,-0.394854,-5.401515,-9.738773,-3.740887,0.962137,0.347522,1.389965,-1.08938,0.262144,-0.784001,0.041716,-0.178931,1.458219,0.57216,67.38,1
86306,-9.268209,3.272666,-6.294855,4.153885,-2.14768,1.240508,-0.918504,-15.934173,-1.685863,-1.324161,2.911714,-1.763805,-1.755179,-5.729158,0.057912,-0.151844,1.038677,0.833094,-1.404506,-0.187393,0.970042,-0.669055,0.866214,0.159396,0.494826,0.467916,0.182214,0.390932,199.9,1
45917,-2.887421,6.959988,-11.61846,8.861641,-3.602006,-3.796059,-5.316432,2.862136,-4.583384,-4.346188,4.354671,-6.69475,0.129572,-10.901742,0.33801,-3.426744,-5.051488,-1.053622,0.909792,0.458918,2.058329,-0.501306,0.23561,0.362252,0.735984,0.662898,0.136123,0.395681,30.36,1
74133,-15.661672,8.084547,-9.227234,4.375874,-9.120102,-0.998176,-3.374663,-0.019552,-2.564631,-5.8487,1.96001,-4.320909,-1.13095,-7.645427,-0.491588,-2.714132,-4.073605,-0.613486,0.083327,-0.341441,0.64282,0.044752,0.122463,0.559858,0.005314,-0.144544,-0.415746,0.417206,1001.21,1
